location;chrom;start;end;CIRCexplorer2_name;CircBank_Name;S04_P;S05_P;S14_P;S19_P;S16_N;S02_N;S23_N;S07_N
chr9:19288593-19328160;chr9;19288593;19328160;HSA_CIRCpedia_63670;hsa_circDENND4C_018;NA;NA;2;NA;NA;NA;NA;NA
chr6:108243000-108250718;chr6;108243000;108250718;HSA_CIRCpedia_53233;hsa_circSEC63_001;3;2;3;14;NA;NA;8;4
chr1:211952259-211966532;chr1;211952259;211966532;HSA_CIRCpedia_29819;hsa_circLPGAT1_006;8;28;17;15;13;23;12;13
chr10:32847913-32873232;chr10;32847913;32873232;hsa-circ-CCDC7-overlap.69;NA;9;8;3;5;NA;NA;15;NA
chr10:6472771-6484043;chr10;6472771;6484043;HSA_CIRCpedia_1932;NA;4;NA;1;NA;NA;NA;NA;NA
chr8:129021835-129022690;chr8;129021835;129022690;HSA_CIRCpedia_60035;hsa_circPVT1_020;NA;1;1;NA;NA;NA;5;3
chr16:53188358-53191453;chr16;53188358;53191453;hsa_circ_0000701;hsa_circCHD9_006;NA;5;4;10;2;4;6;NA
chr18:76856475-76914555;chr18;76856475;76914555;HSA_CIRCpedia_24348;hsa_circATP9B_008;13;2;8;9;4;6;16;9
chr13:111298463-111299447;chr13;111298463;111299447;hsa-circ-intronic.2846;NA;NA;NA;3;NA;NA;NA;2;NA
chr6:20781375-20846409;chr6;20781375;20846409;HSA_CIRCpedia_54585;hsa_circCDKAL1_014;NA;NA;4;3;NA;6;2;3
chr3:132165318-132169691;chr3;132165318;132169691;HSA_CIRCpedia_43572;hsa_circDNAJC13_008;NA;NA;1;NA;NA;NA;NA;NA
chr10:112640990-112647644;chr10;112640990;112647644;HSA_CIRCpedia_120036;hsa_circPDCD4_001;5;1;4;6;2;NA;6;4
chr11:33065295-33076271;chr11;33065295;33076271;HSA_CIRCpedia_4122;hsa_circTCP11L1_001;3;NA;3;NA;NA;NA;NA;NA
chr22:32206506-32211198;chr22;32206506;32211198;HSA_CIRCpedia_36462;hsa_circDEPDC5_018;NA;NA;2;NA;NA;NA;NA;1
chr7:6154953-6156570;chr7;6154953;6156570;HSA_CIRCpedia_121470;hsa_circUSP42_006;NA;NA;1;5;1;NA;NA;NA
chr9:20881869-20907241;chr9;20881869;20907241;HSA_CIRCpedia_63745;NA;NA;NA;1;NA;NA;NA;NA;NA
chr7:102962378-102963241;chr7;102962378;102963241;HSA_CIRCpedia_68335;hsa_circDNAJC2_002;16;13;13;15;15;18;23;12
chr1:155644800-155649303;chr1;155644800;155649303;HSA_CIRCpedia_28204;hsa_circYY1AP1_009;42;28;45;34;32;20;29;13
chr2:96517441-96525822;chr2;96517441;96525822;HSA_CIRCpedia_69619;hsa_circANKRD36C_001;4;2;3;NA;NA;5;9;1
chr7:5778906-5781446;chr7;5778906;5781446;HSA_CIRCpedia_58350;hsa_circRNF216_005;2;NA;7;NA;NA;1;1;NA
chr13:77655561-77661768;chr13;77655561;77661768;HSA_CIRCpedia_11104;hsa_circMYCBP2_107;NA;6;3;7;8;5;2;3
chr15:59204761-59209198;chr15;59204761;59209198;HSA_CIRCpedia_14911;hsa_circSLTM_007;183;120;125;167;119;95;204;93
chr5:138994170-138994551;chr5;138994170;138994551;HSA_CIRCpedia_50483;hsa_circUBE2D2_005;8;10;15;14;15;6;22;8
chr7:91924202-91948826;chr7;91924202;91948826;HSA_CIRCpedia_59276;hsa_circANKIB1_004;6;NA;3;12;NA;NA;11;4
chr1:175996707-176015460;chr1;175996707;176015460;HSA_CIRCpedia_28882;hsa_circRFWD2_060;NA;NA;10;1;4;4;5;NA
chr15:78337241-78346529;chr15;78337241;78346529;HSA_CIRCpedia_15792;hsa_circTBC1D2B_001;3;NA;4;4;1;2;2;NA
chr14:50616725-50616948;chr14;50616725;50616948;HSA_CIRCpedia_12254;hsa_circSOS2_047;11;16;3;15;4;5;10;9
chr3:136136726-136141886;chr3;136136726;136141886;HSA_CIRCpedia_43713;hsa_circSTAG1_031;5;1;5;3;3;1;NA;NA
chr1:31461155-31468067;chr1;31461155;31468067;hsa-circ-PUM1-overlap.33;hsa_circPUM1_022;NA;2;1;NA;NA;NA;NA;NA
chr4:151509199-151604869;chr4;151509199;151604869;HSA_CIRCpedia_47666;hsa_circLRBA_115;NA;NA;1;NA;NA;NA;NA;NA
chr10:3174571-3178030;chr10;3174571;3178030;HSA_CIRCpedia_1458;hsa_circPFKP_031;1;NA;3;NA;NA;NA;NA;NA
chr12:122611802-122615480;chr12;122611802;122615480;HSA_CIRCpedia_66711;hsa_circMLXIP_002;NA;NA;1;NA;NA;NA;NA;NA
chr3:125032151-125032500;chr3;125032151;125032500;HSA_CIRCpedia_43336;hsa_circZNF148_018;1;4;2;4;NA;NA;2;3
chr6:161494497-161510503;chr6;161494497;161510503;HSA_CIRCpedia_54268;hsa_circMAP3K4_008;NA;NA;2;NA;NA;1;NA;NA
chr6:20546576-20548936;chr6;20546576;20548936;HSA_CIRCpedia_54579;hsa_circCDKAL1_001;6;4;15;15;4;NA;4;5
chr5:78914469-78919178;chr5;78914469;78919178;hsa-circ-PAPD4-overlap.116;NA;1;NA;1;2;NA;NA;NA;NA
chr5:167920898-167922441;chr5;167920898;167922441;HSA_CIRCpedia_102227;hsa_circRARS_016;NA;NA;2;NA;NA;NA;NA;NA
chr1:114372213-114377058;chr1;114372213;114377058;hsa-circ-PTPN22.71;NA;NA;NA;1;2;NA;NA;NA;NA
chr16:24043456-24046868;chr16;24043456;24046868;HSA_CIRCpedia_17068;hsa_circPRKCB_012;6;8;5;14;8;1;8;2
chr12:112743867-112750951;chr12;112743867;112750951;HSA_CIRCpedia_6866;hsa_circC12orf51_015;NA;NA;2;NA;1;NA;1;NA
chr1:150413398-150418877;chr1;150413398;150418877;HSA_CIRCpedia_27835;hsa_circRPRD2_006;6;NA;2;3;5;NA;2;NA
chr17:41199659-41215968;chr17;41199659;41215968;HSA_CIRCpedia_20866;hsa_circBRCA1_020;NA;NA;1;NA;NA;NA;NA;NA
chr4:39734978-39757359;chr4;39734978;39757359;hsa-circ-UBE2K-overlap.168;NA;NA;NA;2;4;NA;NA;NA;1
chr5:179136873-179147561;chr5;179136873;179147561;HSA_CIRCpedia_51392;hsa_circCANX_022;13;4;1;11;2;NA;1;1
chr15:93467550-93482948;chr15;93467550;93482948;HSA_CIRCpedia_84167;hsa_circCHD2_006;NA;4;2;4;NA;NA;NA;NA
chr1:27269150-27269556;chr1;27269150;27269556;HSA_CIRCpedia_31146;hsa_circNUDC_008;37;22;44;51;10;16;41;21
chr5:56152426-56155742;chr5;56152426;56155742;HSA_CIRCpedia_52002;hsa_circMAP3K1_002;7;NA;3;5;3;1;5;5
chr9:74561921-74567048;chr9;74561921;74567048;hsa-circ-C9orf85-overlap.5;NA;NA;NA;1;NA;NA;NA;NA;NA
chr19:47865732-47865950;chr19;47865732;47865950;HSA_CIRCpedia_26297;hsa_circDHX34_013;6;2;9;8;NA;4;6;5
chr16:3786036-3795355;chr16;3786036;3795355;HSA_CIRCpedia_17547;hsa_circCREBBP_045;5;4;3;NA;3;3;NA;NA
chr5:159505064-159521072;chr5;159505064;159521072;hsa-circ-PWWP2A-overlap.1;hsa_circPWWP2A_004;NA;NA;2;NA;NA;NA;NA;NA
chr1:243736227-244006584;chr1;243736227;244006584;HSA_CIRCpedia_30945;hsa_circAKT3_010;12;3;5;10;3;5;4;3
chr15:45059428-45059793;chr15;45059428;45059793;hsa_circRNA_405333;hsa_circTRIM69_002;NA;NA;3;NA;3;NA;1;NA
chr22:27170118-27172917;chr22;27170118;27172917;HSA_CIRCpedia_36221;NA;NA;NA;2;NA;NA;NA;NA;NA
chr6:13632601-13644961;chr6;13632601;13644961;HSA_CIRCpedia_53636;hsa_circRANBP9_026;36;29;29;62;26;29;46;21
chr18:74807323-74817242;chr18;74807323;74817242;HSA_CIRCpedia_24338;NA;NA;4;3;NA;NA;NA;10;NA
chr3:47663696-47719801;chr3;47663696;47719801;HSA_CIRCpedia_45904;hsa_circSMARCC1_103;NA;1;1;3;NA;NA;1;2
chr3:149619858-149639014;chr3;149619858;149639014;HSA_CIRCpedia_43999;hsa_circRNF13_022;3;NA;2;2;NA;2;NA;NA
chr1:231079551-231097049;chr1;231079551;231097049;HSA_CIRCpedia_30505;hsa_circTTC13_005;2;6;3;3;3;NA;5;2
chr20:24988401-25011594;chr20;24988401;25011594;hsa-circ-ACSS1-overlap.3;NA;NA;NA;1;NA;NA;NA;NA;NA
chr16:50816235-50827575;chr16;50816235;50827575;hsa-circ-CYLD.11;NA;NA;NA;1;NA;NA;NA;NA;NA
chr1:78267015-78272786;chr1;78267015;78272786;HSA_CIRCpedia_32947;hsa_circFAM73A_005;4;NA;4;6;2;6;2;NA
chr1:31465236-31479949;chr1;31465236;31479949;HSA_CIRCpedia_31330;hsa_circPUM1_016;12;4;4;5;NA;NA;4;5
chr11:57258696-57259335;chr11;57258696;57259335;HSA_CIRCpedia_4712;hsa_circSLC43A1_013;9;4;17;20;6;7;14;11
chr13:77763085-77807398;chr13;77763085;77807398;HSA_CIRCpedia_357247;NA;NA;NA;1;NA;NA;NA;NA;NA
chr20:30370051-30385318;chr20;30370051;30385318;HSA_CIRCpedia_33626;hsa_circTPX2_020;NA;3;3;NA;NA;NA;1;NA
chr11:128993340-129034322;chr11;128993340;129034322;HSA_CIRCpedia_3714;hsa_circARHGAP32_004;NA;2;3;1;1;3;5;1
chr19:5650988-5654467;chr19;5650988;5654467;HSA_CIRCpedia_86008;hsa_circSAFB_006;5;3;3;4;NA;NA;6;1
chr12:70671911-70713144;chr12;70671911;70713144;HSA_CIRCpedia_9506;hsa_circCNOT2_006;5;5;2;11;6;NA;6;6
chr8:110422093-110432919;chr8;110422093;110432919;HSA_CIRCpedia_359542;NA;NA;NA;1;3;4;NA;NA;2
chr15:85223943-85231005;chr15;85223943;85231005;HSA_CIRCpedia_15931;hsa_circSEC11A_005;3;1;2;3;NA;NA;2;3
chr10:103552595-103567658;chr10;103552595;103567658;HSA_CIRCpedia_127;hsa_circMGEA5_029;1;4;7;3;1;3;3;NA
chr20:3199162-3199640;chr20;3199162;3199640;hsa_circ_0008156;hsa_circITPA_007;5;NA;9;9;5;4;11;5
chrX:119063978-119066179;chrX;119063978;119066179;HSA_CIRCpedia_65098;hsa_circNKAP_002;8;7;7;3;5;NA;10;NA
chr4:2883624-2916767;chr4;2883624;2916767;HSA_CIRCpedia_48365;hsa_circADD1_009;NA;NA;1;NA;NA;NA;NA;NA
chr3:17413566-17425507;chr3;17413566;17425507;HSA_CIRCpedia_44476;hsa_circTBC1D5_025;1;3;1;3;NA;3;1;NA
chr15:90984737-90986710;chr15;90984737;90986710;HSA_CIRCpedia_16113;hsa_circIQGAP1_023;31;43;27;47;10;23;33;31
chr2:230633331-230636348;chr2;230633331;230636348;HSA_CIRCpedia_39922;hsa_circTRIP12_070;NA;NA;2;1;NA;7;2;2
chr20:3540039-3541552;chr20;3540039;3541552;HSA_CIRCpedia_95352;hsa_circATRN_016;NA;NA;1;3;NA;NA;NA;NA
chr10:93870832-93904869;chr10;93870832;93904869;HSA_CIRCpedia_119972;hsa_circCPEB3_014;NA;NA;2;NA;NA;NA;NA;NA
chr2:215632205-215646233;chr2;215632205;215646233;HSA_CIRCpedia_39563;hsa_circBARD1_018;14;15;9;19;6;4;8;9
chr10:70696691-70703013;chr10;70696691;70703013;HSA_CIRCpedia_2143;hsa_circDDX50_010;6;7;3;7;NA;NA;5;5
chr5:137717204-137735701;chr5;137717204;137735701;HSA_CIRCpedia_50396;NA;NA;NA;1;NA;NA;NA;NA;NA
chr2:54122143-54127154;chr2;54122143;54127154;HSA_CIRCpedia_41639;NA;1;NA;1;NA;NA;NA;NA;NA
chr7:27824781-27839709;chr7;27824781;27839709;HSA_CIRCpedia_57782;hsa_circTAX1BP1_008;8;2;8;7;15;13;15;1
chr1:174221617-174245073;chr1;174221617;174245073;HSA_CIRCpedia_110058;hsa_circRABGAP1L_018;NA;NA;1;3;NA;NA;NA;NA
chr1:38052911-38054683;chr1;38052911;38054683;hsa-circ-GNL2-overlap.1;hsa_circGNL2_003;1;NA;8;NA;5;NA;NA;3
chr16:47627410-47684832;chr16;47627410;47684832;HSA_CIRCpedia_17719;NA;NA;NA;1;2;NA;2;3;NA
chr4:1219147-1222131;chr4;1219147;1222131;HSA_CIRCpedia_47300;hsa_circCTBP1_007;3;NA;1;NA;NA;NA;2;1
chr12:9758948-9775032;chr12;9758948;9775032;hsa-circ-KLRB1-antisense.6;NA;NA;NA;1;4;4;NA;2;2
chrX:154736558-154754293;chrX;154736558;154754293;HSA_CIRCpedia_65468;hsa_circTMLHE_010;NA;NA;5;NA;NA;NA;NA;NA
chr1:243456392-243542165;chr1;243456392;243542165;HSA_CIRCpedia_30923;hsa_circSDCCAG8_019;NA;NA;1;NA;NA;NA;4;1
